project_id,project_name,symbol,category,date,event_type,description,importance,potential_impact,source
solana,Solana,SOL,Layer 1,2025-04-20,AMA Session,Ask Me Anything session with Solana core team,low,negative,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-04-20,Mainnet Launch,Ripple Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-22,Conference,Ethereum annual developer conference in Seoul,medium,neutral,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-04-22,Token Burn,Scheduled Cardano token burn event,medium,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-23,Conference,Bitcoin annual developer conference in Dubai,medium,neutral,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-04-23,Airdrop,Solana token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-23,Token Burn,Scheduled Ethereum token burn event,medium,negative,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-04-25,Whitepaper Release,Dogecoin whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-26,Conference,Avalanche annual developer conference in London,medium,neutral,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-04-28,Airdrop,Polkadot token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-04-28,AMA Session,Ask Me Anything session with Ripple core team,low,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-29,Token Burn,Scheduled Ethereum token burn event,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-05-01,Mainnet Launch,Ethereum Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-05-01,Airdrop,Solana token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-05-03,Whitepaper Release,Avalanche whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-05-05,Token Burn,Scheduled Avalanche token burn event,medium,negative,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-05-06,Halving,Uniswap mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-05-07,Airdrop,Avalanche token airdrop to community members,medium,negative,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-05-10,Listing,Ripple listing on major exchange,medium,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-05-13,Hard Fork,Avalanche network upgrade to improve scalability,high,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-05-13,Hard Fork,Bitcoin network upgrade to improve interoperability,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-05-15,Hard Fork,Avalanche network upgrade to improve governance,high,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-05-17,Protocol Update,Uniswap protocol update to version 1.6.3,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-05-18,Halving,Ethereum mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-05-22,Partnership,Uniswap announces strategic partnership,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-05-23,Whitepaper Release,Ethereum whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-05-23,Conference,Ethereum annual developer conference in Amsterdam,medium,positive,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-05-24,Halving,Cardano mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-05-24,Conference,Solana annual developer conference in Dubai,medium,negative,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-05-25,Airdrop,Dogecoin token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-05-26,AMA Session,Ask Me Anything session with Uniswap core team,low,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-05-26,Hard Fork,Bitcoin network upgrade to improve consensus mechanism,high,positive,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-05-27,Whitepaper Release,Solana whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-05-27,Hard Fork,Dogecoin network upgrade to improve smart contracts,high,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-05-27,Protocol Update,Ripple protocol update to version 2.0.3,medium,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-05-28,Partnership,Bitcoin announces strategic partnership,medium,neutral,CryptoText Analytics (Mock Data)
