project_id,project_name,symbol,category,date,event_type,description,importance,potential_impact,source
ripple,Ripple,XRP,Payment,2025-03-26,AMA Session,Ask Me Anything session with Ripple core team,low,neutral,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-27,Conference,Dogecoin annual developer conference in San Francisco,medium,neutral,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-27,Airdrop,Dogecoin token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-27,Whitepaper Release,Bitcoin whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-03-27,Protocol Update,Solana protocol update to version 3.2.3,medium,negative,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-28,Whitepaper Release,Uniswap whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-03-28,Mainnet Launch,Ripple Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-03-28,Token Burn,Scheduled Avalanche token burn event,medium,negative,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-28,Partnership,Bitcoin announces strategic partnership,medium,neutral,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-03-28,Conference,Cardano annual developer conference in Hong Kong,medium,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-28,AMA Session,Ask Me Anything session with Dogecoin core team,low,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-28,Halving,Uniswap mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-28,Token Burn,Scheduled Bitcoin token burn event,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-29,Whitepaper Release,Bitcoin whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-29,Partnership,Uniswap announces strategic partnership,medium,positive,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-03-29,Token Burn,Scheduled Cardano token burn event,medium,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-29,Halving,Bitcoin mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-03-29,Airdrop,Polkadot token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-03-29,Conference,Ripple annual developer conference in Tokyo,medium,neutral,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-03-29,Whitepaper Release,Polkadot whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-03-29,AMA Session,Ask Me Anything session with Solana core team,low,negative,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-03-29,Protocol Update,Polkadot protocol update to version 2.4.6,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-29,AMA Session,Ask Me Anything session with Bitcoin core team,low,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-29,Conference,Bitcoin annual developer conference in Paris,medium,neutral,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-03-29,AMA Session,Ask Me Anything session with Ripple core team,low,neutral,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-03-30,AMA Session,Ask Me Anything session with Polkadot core team,low,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-30,Airdrop,Uniswap token airdrop to community members,medium,neutral,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-30,Hard Fork,Dogecoin network upgrade to improve user experience,high,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-30,Conference,Ethereum annual developer conference in Amsterdam,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-30,Mainnet Launch,Ethereum Mainnet launch after successful testnet phase,high,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-30,Mainnet Launch,Ethereum Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-03-30,Airdrop,Solana token airdrop to community members,medium,negative,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-30,Whitepaper Release,Ethereum whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
chainlink,Chainlink,LINK,Oracle,2025-03-30,Protocol Update,Chainlink protocol update to version 2.2.7,medium,neutral,CryptoText Analytics (Mock Data)
